title,author,duration
74. Never Finished,Written by: David Goggins,Length: 11 hrs and 6 mins
75. To Kill a Mockingbird,Written by: Harper Lee,Length: 12 hrs and 17 mins
76. Why We Sleep,Written by: Matthew Walker,Length: 13 hrs and 31 mins
77. The Tatas,"Written by: Girish Kuber, Vikrant Pande - translator",Length: 9 hrs and 41 mins
78. The Greatest Secret,Written by: Rhonda Byrne,Length: 6 hrs and 20 mins
79. Revolutionaries,Written by: Sanjeev Sanyal,Length: 11 hrs and 22 mins
80. Becoming,Written by: Michelle Obama,Length: 19 hrs and 3 mins
81. The Personal MBA: Master the Art of Business,Written by: Josh Kaufman,Length: 15 hrs and 25 mins
"82. Ponniyin Selvan - Part 2 [The Son of Ponni, Part 2]",Written by: Kalki,Length: 14 hrs and 1 min
83. Linchpin,Written by: Seth Godin,Length: 8 hrs and 19 mins
84. The Body Keeps the Score,Written by: Bessel A. van der Kolk,Length: 16 hrs and 16 mins
85. A Game of Thrones,Written by: George R.R. Martin,Length: 33 hrs and 45 mins
"86. Harry Potter and the Half-Blood Prince, Book 6",Written by: J.K. Rowling,Length: 20 hrs and 31 mins
87. Influence,Written by: Robert B. Cialdini,Length: 12 hrs and 25 mins
88. No Rules Rules,"Written by: Reed Hastings, Erin Meyer",Length: 9 hrs and 42 mins
"89. Harry Potter and the Order of the Phoenix, Book 5",Written by: J.K. Rowling,Length: 29 hrs and 1 min
90. Anxious People,Written by: Fredrik Backman,Length: 9 hrs and 52 mins
91. Essentialism,Written by: Greg McKeown,Length: 6 hrs and 14 mins
92. Hooked: How to Build Habit-Forming Products,"Written by: Nir Eyal, Ryan Hoover",Length: 4 hrs and 40 mins
93. The ONE Thing,"Written by: Gary Keller, Jay Papasan",Length: 5 hrs and 24 mins
94. The Pathless Path,Written by: Paul Millerd,Length: 6 hrs and 6 mins
95. Inglorious Empire,Written by: Shashi Tharoor,Length: 10 hrs and 33 mins
96. Rework,"Written by: Jason Fried, David Heinemeier Hansson",Length: 2 hrs and 50 mins
97. The Lean Startup,Written by: Eric Ries,Length: 8 hrs and 38 mins
98. The Ballad of Songbirds and Snakes,Written by: Suzanne Collins,Length: 16 hrs and 16 mins
99. The Monk Who Sold His Ferrari,Written by: Robin Sharma,Length: 2 hrs and 40 mins
100. The Millionaire Fastlane: Crack the Code to Wealth and Live Rich for a Lifetime,Written by: MJ DeMarco,Length: 12 hrs and 46 mins
